 TITLE="parade results"
 VARIABLES="wavl","emis","absco"
 ZONE I=        4000, F=POINT
      800.000        8.444734E+14     2885.07
      800.180        8.476418E+14     2887.02
      800.360        8.508217E+14     2888.97
      800.541        8.540130E+14     2890.92
      800.721        8.572170E+14     2892.88
      800.901        8.604324E+14     2894.83
      801.082        8.636595E+14     2896.79
      801.262        8.668993E+14     2898.75
      801.443        8.701508E+14     2900.71
      801.624        8.734141E+14     2902.67
      801.805        8.766904E+14     2904.64
      801.986        8.799784E+14     2906.61
      802.167        8.832782E+14     2908.57
      802.348        8.865911E+14     2910.55
      802.529        8.899159E+14     2912.52
      802.710        8.932526E+14     2914.49
      802.891        8.966028E+14     2916.47
      803.073        8.999647E+14     2918.44
      803.254        9.033390E+14     2920.42
      803.436        9.067265E+14     2922.40
      803.617        9.101261E+14     2924.38
      803.799        9.135381E+14     2926.37
      803.981        9.169636E+14     2928.35
      804.163        9.204014E+14     2930.34
      804.345        9.238516E+14     2932.33
      804.527        9.273153E+14     2934.32
      804.709        9.307916E+14     2936.32
      804.891        9.342803E+14     2938.31
      805.073        9.377828E+14     2940.31
      805.256        9.412978E+14     2942.30
      805.438        9.448257E+14     2944.31
      805.621        9.483674E+14     2946.31
      805.803        9.519219E+14     2948.31
      805.986        9.554890E+14     2950.32
      806.169        9.590704E+14     2952.33
      806.352        9.626644E+14     2954.33
      806.535        9.662726E+14     2956.35
      806.718        9.698941E+14     2958.36
      806.901        9.735285E+14     2960.38
      807.084        9.771771E+14     2962.40
      807.267        9.808389E+14     2964.41
      807.451        9.845136E+14     2966.43
      807.634        9.882031E+14     2968.45
      807.818        9.919056E+14     2970.48
      808.001        9.956217E+14     2972.50
      808.185        9.993521E+14     2974.53
      808.369        1.003096E+15     2976.56
      808.553        1.006855E+15     2978.59
      808.737        1.010627E+15     2980.63
      808.921        1.014413E+15     2982.66
      809.105        1.018214E+15     2984.70
      809.289        1.022028E+15     2986.74
      809.473        1.025856E+15     2988.78
      809.658        1.029699E+15     2990.82
      809.842        1.033556E+15     2992.87
      810.027        1.037427E+15     2994.92
      810.211        1.041313E+15     2996.96
      810.396        1.045213E+15     2999.01
      810.581        1.049128E+15     3001.06
      810.766        1.053057E+15     3003.12
      810.951        1.057001E+15     3005.17
      811.136        1.060959E+15     3007.23
      811.321        1.064933E+15     3009.29
      811.506        1.068921E+15     3011.35
      811.691        1.072924E+15     3013.42
      811.877        1.076941E+15     3015.48
      812.062        1.080974E+15     3017.55
      812.248        1.085021E+15     3019.62
      812.433        1.089085E+15     3021.69
      812.619        1.093163E+15     3023.76
      812.805        1.097255E+15     3025.84
      812.991        1.101364E+15     3027.91
      813.177        1.105487E+15     3029.99
      813.363        1.109627E+15     3032.07
      813.549        1.113781E+15     3034.16
      813.735        1.117950E+15     3036.24
      813.922        1.122135E+15     3038.33
      814.108        1.126336E+15     3040.41
      814.295        1.130553E+15     3042.50
      814.481        1.134785E+15     3044.59
      814.668        1.139032E+15     3046.69
      814.855        1.143296E+15     3048.79
      815.041        1.147575E+15     3050.88
      815.228        1.151871E+15     3052.98
      815.415        1.156182E+15     3055.08
      815.602        1.160508E+15     3057.19
      815.790        1.164852E+15     3059.29
      815.977        1.169211E+15     3061.40
      816.164        1.173587E+15     3063.51
      816.352        1.177979E+15     3065.62
      816.539        1.182386E+15     3067.73
      816.727        1.186811E+15     3069.85
      816.915        1.191252E+15     3071.96
      817.102        1.195709E+15     3074.08
      817.290        1.200183E+15     3076.20
      817.478        1.204673E+15     3078.33
      817.666        1.209181E+15     3080.45
      817.854        1.213704E+15     3082.58
      818.043        1.218245E+15     3084.71
      818.231        1.222803E+15     3086.84
      818.419        1.227378E+15     3088.97
      818.608        1.231969E+15     3091.10
      818.796        1.236577E+15     3093.24
      818.985        1.241203E+15     3095.38
      819.174        1.245846E+15     3097.52
      819.362        1.250506E+15     3099.66
      819.551        1.255183E+15     3101.81
      819.740        1.259879E+15     3103.96
      819.930        1.264591E+15     3106.10
      820.119        1.269320E+15     3108.26
      820.308        1.274068E+15     3110.41
